Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-14 09:30:00-04:00,114.72,114.82,114.21,114.23,5379688,0,0
2020-09-14 09:31:00-04:00,114.22,114.73,113.86,113.98,958816,0,0
2020-09-14 09:34:00-04:00,114.13,114.16,113.72,113.78,1699137,0,0
2020-09-14 09:35:00-04:00,113.91,113.96,113.59,113.6,780171,0,0
2020-09-14 09:36:00-04:00,113.6,113.99,113.52,113.95,508385,0,0
2020-09-14 09:37:00-04:00,113.94,114.38,113.94,114.19,712196,0,0
2020-09-14 09:38:00-04:00,114.22,114.25,114.07,114.12,440966,0,0
2020-09-14 09:39:00-04:00,114.12,114.28,113.95,114.23,608176,0,0
2020-09-14 09:40:00-04:00,114.22,114.57,114.16,114.56,817091,0,0
2020-09-14 09:41:00-04:00,114.56,114.62,114.37,114.6,591058,0,0
2020-09-14 09:42:00-04:00,114.6,114.91,114.51,114.89,708658,0,0
2020-09-14 09:43:00-04:00,114.89,114.94,114.73,114.84,558927,0,0
2020-09-14 09:44:00-04:00,114.64,114.75,114.45,114.74,714176,0,0
2020-09-14 09:45:00-04:00,114.75,115.05,114.72,114.99,1063010,0,0
2020-09-14 09:46:00-04:00,114.97,115.32,114.91,115.3,854956,0,0
2020-09-14 09:47:00-04:00,115.32,115.6,115.26,115.47,978312,0,0
2020-09-14 09:48:00-04:00,115.46,115.71,115.31,115.35,916799,0,0
2020-09-14 09:49:00-04:00,115.1,115.46,114.96,115.43,975243,0,0
2020-09-14 09:50:00-04:00,115.46,115.57,115.15,115.24,567482,0,0
2020-09-14 09:51:00-04:00,115.32,115.47,115.23,115.37,407935,0,0
2020-09-14 09:52:00-04:00,115.36,115.44,115.2,115.3,450651,0,0
2020-09-14 09:53:00-04:00,115.32,115.32,114.83,114.96,655194,0,0
2020-09-14 09:54:00-04:00,114.93,115.13,114.93,115.07,527466,0,0
2020-09-14 09:55:00-04:00,115.08,115.23,114.94,115.06,571422,0,0
2020-09-14 09:56:00-04:00,115.09,115.24,114.93,115.02,466026,0,0
2020-09-14 09:57:00-04:00,115.01,115.04,114.9,114.99,325413,0,0
2020-09-14 09:58:00-04:00,114.96,114.98,114.75,114.89,409610,0,0
2020-09-14 09:59:00-04:00,114.89,114.97,114.73,114.83,385489,0,0
2020-09-14 10:00:00-04:00,114.87,114.95,114.51,114.57,515120,0,0
2020-09-14 10:01:00-04:00,114.56,114.69,114.43,114.68,525257,0,0
2020-09-14 10:02:00-04:00,114.68,115.04,114.67,114.93,552856,0,0
2020-09-14 10:03:00-04:00,114.95,115.1,114.89,114.91,464957,0,0
2020-09-14 10:04:00-04:00,114.91,115.16,114.85,115.15,436432,0,0
2020-09-14 10:05:00-04:00,115.15,115.15,114.97,115.04,297430,0,0
2020-09-14 10:06:00-04:00,115.06,115.24,114.97,115.15,416624,0,0
2020-09-14 10:07:00-04:00,115.16,115.16,114.92,115.06,356960,0,0
2020-09-14 10:08:00-04:00,115.06,115.11,114.9,115.1,317294,0,0
2020-09-14 10:09:00-04:00,115.1,115.42,115.1,115.38,1544317,0,0
2020-09-14 10:10:00-04:00,115.38,115.39,115.11,115.15,428820,0,0
2020-09-14 10:11:00-04:00,115.16,115.27,114.98,115.01,353313,0,0
2020-09-14 10:12:00-04:00,115.03,115.04,114.92,115.03,317538,0,0
2020-09-14 10:13:00-04:00,115.03,115.28,114.98,115.18,362309,0,0
2020-09-14 10:14:00-04:00,115.18,115.22,115.0,115.1,291909,0,0
2020-09-14 10:15:00-04:00,115.11,115.18,114.93,115.16,338707,0,0
2020-09-14 10:16:00-04:00,115.15,115.19,115.04,115.11,356370,0,0
2020-09-14 10:17:00-04:00,115.12,115.18,114.97,115.03,343216,0,0
2020-09-14 10:18:00-04:00,115.04,115.08,114.92,115.06,266988,0,0
2020-09-14 10:19:00-04:00,115.06,115.08,114.85,114.93,418287,0,0
2020-09-14 10:20:00-04:00,114.93,115.03,114.82,114.89,309984,0,0
2020-09-14 10:21:00-04:00,114.89,115.04,114.88,114.89,298640,0,0
2020-09-14 10:22:00-04:00,114.88,114.93,114.73,114.91,419759,0,0
2020-09-14 10:23:00-04:00,114.91,115.07,114.86,114.9,414236,0,0
2020-09-14 10:24:00-04:00,114.91,114.97,114.87,114.95,259421,0,0
2020-09-14 10:25:00-04:00,114.95,115.02,114.86,114.99,348389,0,0
2020-09-14 10:26:00-04:00,114.99,115.09,114.98,114.99,430703,0,0
2020-09-14 10:27:00-04:00,115.0,115.04,114.91,114.92,282828,0,0
2020-09-14 10:28:00-04:00,114.91,114.94,114.84,114.93,341309,0,0
2020-09-14 10:29:00-04:00,114.93,115.08,114.91,115.0,373071,0,0
2020-09-14 10:30:00-04:00,115.0,115.02,114.76,114.81,330410,0,0
2020-09-14 10:31:00-04:00,114.81,114.82,114.31,114.37,567827,0,0
2020-09-14 10:32:00-04:00,114.38,114.47,114.2,114.44,404453,0,0
2020-09-14 10:33:00-04:00,114.45,114.54,114.37,114.38,344482,0,0
2020-09-14 10:34:00-04:00,114.38,114.46,114.22,114.43,552118,0,0
2020-09-14 10:35:00-04:00,114.43,114.92,114.4,114.91,774644,0,0
2020-09-14 10:36:00-04:00,114.9,115.0,114.72,114.73,512865,0,0
2020-09-14 10:37:00-04:00,114.74,114.89,114.73,114.84,254295,0,0
2020-09-14 10:38:00-04:00,114.85,114.9,114.61,114.64,392286,0,0
2020-09-14 10:39:00-04:00,114.64,114.72,114.53,114.57,221859,0,0
2020-09-14 10:40:00-04:00,114.57,114.61,114.38,114.39,360694,0,0
2020-09-14 10:41:00-04:00,114.39,114.47,114.31,114.38,265992,0,0
2020-09-14 10:42:00-04:00,114.36,114.53,114.33,114.46,238307,0,0
2020-09-14 10:43:00-04:00,114.46,114.51,114.41,114.49,311172,0,0
2020-09-14 10:44:00-04:00,114.49,114.53,114.13,114.22,429448,0,0
2020-09-14 10:45:00-04:00,114.21,114.29,114.01,114.08,404578,0,0
2020-09-14 10:46:00-04:00,114.07,114.13,113.95,114.07,592015,0,0
2020-09-14 10:47:00-04:00,114.06,114.07,113.85,113.92,424263,0,0
2020-09-14 10:48:00-04:00,113.91,114.09,113.91,113.96,421712,0,0
2020-09-14 10:49:00-04:00,113.95,114.08,113.93,113.98,363850,0,0
2020-09-14 10:50:00-04:00,113.99,114.17,113.95,114.11,380903,0,0
2020-09-14 10:51:00-04:00,114.1,114.2,114.06,114.16,323558,0,0
2020-09-14 10:52:00-04:00,114.17,114.33,114.16,114.23,374547,0,0
2020-09-14 10:53:00-04:00,114.23,114.24,114.07,114.22,266066,0,0
2020-09-14 10:54:00-04:00,114.22,114.27,114.14,114.2,246574,0,0
2020-09-14 10:55:00-04:00,114.19,114.19,114.01,114.02,294825,0,0
2020-09-14 10:56:00-04:00,114.03,114.14,114.02,114.09,209423,0,0
2020-09-14 10:57:00-04:00,114.08,114.26,114.07,114.21,250122,0,0
2020-09-14 10:58:00-04:00,114.21,114.38,114.19,114.35,333220,0,0
2020-09-14 10:59:00-04:00,114.36,114.52,114.35,114.49,309286,0,0
2020-09-14 11:00:00-04:00,114.5,114.5,114.35,114.44,281852,0,0
2020-09-14 11:01:00-04:00,114.45,114.48,114.32,114.34,242579,0,0
